"model","first.flight","seats","fuel.per.seat","sector","maker"
"Antonov An-148 (241 nmi)",2004,89,5.95,1,"Antonov"
"Antonov An-158 (241 nmi)",2010,99,5.47,1,"Antonov"
"ATR 42-500",1995,48,3.15,1,"ATR"
"ATR 72-500",1997,70,2.53,1,"ATR"
"Beechcraft 1900D (226Â nm)",1982,19,6.57,1,"Beechcraft"
"Bombardier CRJ100",1991,50,5.5,1,"Bombardier"
"Bombardier CRJ200",1995,50,5.43,1,"Bombardier"
"Bombardier CRJ700",1999,70,5.25,1,"Bombardier"
"Bombardier CRJ900",2001,88,4.91,1,"Bombardier"
"Bombardier Dash 8 Q400",1998,78,3.46,1,"Bombardier"
"Dornier 228",1981,19,6.22,1,"Dornier"
"Dornier 328",1991,32,4.76,1,"Dornier"
"Embraer Brasilia",1983,30,3.82,1,"Embraer"
"Embraer ERJ-135ER (309 nmi)",1998,37,5.52,1,"Embraer"
"Embraer ERJ-145ER (305 nmi)",1995,50,4.37,1,"Embraer"
"Saab 340",1983,32,4.29,1,"Saab"
"Saab 2000",1992,50,4.39,1,"Saab"
"Xian MA700",2019,78,2.71,1,"Xian"
"Airbus A319neo",2015,144,2.92,2,"Airbus"
"Airbus A319neo",2015,124,2.82,2,"Airbus"
"Airbus A320neo",2015,154,2.25,2,"Airbus"
"Airbus A321neo",2015,192,2.19,2,"Airbus"
"Antonov An-148",2004,89,4.06,2,"Antonov"
"Antonov An-158",2010,99,3.79,2,"Antonov"
"Boeing 737-300",1984,126,3.46,2,"Boeing"
"Boeing 737-600",1998,110,3.59,2,"Boeing"
"Boeing 737-700",1997,126,3.19,2,"Boeing"
"Boeing 737 MAX 7",2017,128,2.77,2,"Boeing"
"Boeing 737 MAX 7",2017,144,2.93,2,"Boeing"
"Boeing 737-800",1997,162,2.77,2,"Boeing"
"Boeing 737 MAX 8",2017,166,2.28,2,"Boeing"
"Boeing 737-900ER",2006,180,2.66,2,"Boeing"
"Boeing 737 MAX 9",2017,180,2.28,2,"Boeing"
"Boeing 757-200",1982,200,2.91,2,"Boeing"
"Boeing 757-300",1998,243,2.66,2,"Boeing"
"Bombardier CRJ100",1991,50,4.68,2,"Bombardier"
"Bombardier CRJ200",1995,50,4.49,2,"Bombardier"
"Bombardier CRJ700",1999,70,4.36,2,"Bombardier"
"Bombardier CRJ900",2001,88,3.94,2,"Bombardier"
"Bombardier CRJ1000",2009,100,3.33,2,"Bombardier"
"Airbus A220 100",2013,115,3.07,2,"Airbus"
"Airbus A220 300",2015,140,2.75,2,"Airbus"
"Airbus A220-100",2013,125,2.57,2,"Airbus"
"Airbus A220-300",2015,160,2.23,2,"Airbus"
"Bombardier Dash 8 Q400",1998,82,2.79,2,"Bombardier"
"Dornier 328",1991,31,4.35,2,"Dornier"
"Embraer E-Jet E2-175",2020,88,3.44,2,"Embraer"
"Embraer E-Jet E2-190",2018,106,3.32,2,"Embraer"
"Embraer E-Jet E2-195",2019,132,2.9,2,"Embraer"
"Embraer E-Jet-170",2002,80,4.08,2,"Embraer"
"Embraer E-Jet-175",2005,88,3.97,2,"Embraer"
"Embraer E-Jet-190",2004,114,3.54,2,"Embraer"
"Embraer E-Jet-195",2004,122,3.28,2,"Embraer"
"Embraer ERJ-135ER",1998,37,4.86,2,"Embraer"
"Embraer ERJ-145ER",1996,50,3.86,2,"Embraer"
"Pilatus PC-12",1991,9,5.66,2,"Pilatus"
"Saab 340",1983,31,3.83,2,"Saab"
"Saab 2000",1992,50,3.85,2,"Saab"
"Sukhoi SSJ100",2008,98,3.59,2,"Sukhoi"
"Xian MA700",2019,78,2.5,2,"Xian"
"Airbus A319",1995,124,2.95,3,"Airbus"
"Airbus A319Neo",2015,136,1.93,3,"Airbus"
"Airbus A320",1987,150,2.61,3,"Airbus"
"Airbus A321-200",1996,180,2.5,3,"Airbus"
"Airbus A330-200",1997,293,2.37,3,"Airbus"
"Antonov An-148 (1190 nmi)",2004,89,3.86,3,"Antonov"
"Antonov An-158 (1190 nmi)",2010,99,3.57,3,"Antonov"
"Boeing 737-600",1998,110,3.15,3,"Boeing"
"Boeing 737-700",1997,126,2.79,3,"Boeing"
"Boeing 737-700",1997,128,2.71,3,"Boeing"
"Boeing 737 MAX-7",2017,140,1.94,3,"Boeing"
"Boeing 737-800",1997,162,2.44,3,"Boeing"
"Boeing 737-800",1997,160,2.68,3,"Boeing"
"Boeing 737-800W",1997,162,2.45,3,"Boeing"
"Boeing 737 MAX-8",2017,162,2.04,3,"Boeing"
"Boeing 737-900ER",2006,180,2.38,3,"Boeing"
"Boeing 737-900ERW",2006,180,2.37,3,"Boeing"
"Boeing 737 MAX-9",2017,180,2.02,3,"Boeing"
"Boeing 757-200",1982,190,3.02,3,"Boeing"
"Boeing 757-200",1982,200,2.59,3,"Boeing"
"Boeing 757-300",1998,243,2.4,3,"Boeing"
"Airbus A220-100",2013,125,2.28,3,"Airbus"
"Airbus A220-300",2015,160,2,3,"Airbus"
"Airbus A220-300",2015,135,1.85,3,"Airbus"
"Quest Kodiak",2004,9,6.28,3,"Quest"
"Airbus A320",1987,150,2.43,4,"Airbus"
"Airbus A321NeoLR",2016,154,2.43,4,"Airbus"
"Airbus A330-200",1997,241,3.11,4,"Airbus"
"Airbus A330-300",1992,262,2.98,4,"Airbus"
"Airbus A330neo-900",2016,310,2.42,4,"Airbus"
"Airbus A340-300",1992,262,3.25,4,"Airbus"
"Boeing 737 MAX-8",2017,168,2.13,4,"Boeing"
"Boeing 737 MAX-9",2017,144,2.53,4,"Boeing"
"Boeing 747-400",1988,416,3.24,4,"Boeing"
"Boeing 747-8",2011,467,2.65,4,"Boeing"
"Boeing 757-200W",1981,158,3,4,"Boeing"
"Boeing 767-200ER",1984,181,3.34,4,"Boeing"
"Boeing 767-200ER",1984,193,3.25,4,"Boeing"
"Boeing 767-200ER",1984,224,2.75,4,"Boeing"
"Boeing 767-300ER",1988,218,3.09,4,"Boeing"
"Boeing 767-300ER",1988,218,3.09,4,"Boeing"
"Boeing 767-300ER",1988,269,2.56,4,"Boeing"
"Boeing 767-400ER",1999,245,2.95,4,"Boeing"
"Boeing 767-400ER",1999,304,2.44,4,"Boeing"
"Boeing 767-400ER",1999,304,2.43,4,"Boeing"
"Boeing 777-200",1994,305,2.8,4,"Boeing"
"Boeing 777-200ER",1996,301,2.89,4,"Boeing"
"Boeing 777-300",1997,368,2.68,4,"Boeing"
"Boeing 787-8",2009,291,2.26,4,"Boeing"
"Boeing 787-8",2009,238,2.68,4,"Boeing"
"Boeing 787-9",2013,304,2.37,4,"Boeing"
"Irkut MC-21",2017,163,2.33,4,"Irkut"
"Airbus A330-200",1997,241,3.32,5,"Airbus"
"Airbus A330neo-800",2017,248,2.75,5,"Airbus"
"Airbus A330neo-900",2017,300,2.48,5,"Airbus"
"Airbus A340-300",1992,262,3.49,5,"Airbus"
"Airbus A350-900",2013,315,2.39,5,"Airbus"
"Airbus A350-900",2013,315,2.81,5,"Airbus"
"Airbus A380",2005,525,3.27,5,"Airbus"
"Airbus A380",2005,544,3.16,5,"Airbus"
"Boeing 747-400",1988,416,3.34,5,"Boeing"
"Boeing 747-8",2011,467,2.82,5,"Boeing"
"Boeing 747-8",2011,405,3.35,5,"Boeing"
"Boeing 777-200ER",1996,301,3.08,5,"Boeing"
"Boeing 777-200ER",1996,301,3.09,5,"Boeing"
"Boeing 777-200LR",2005,291,3.25,5,"Boeing"
"Boeing 777-300ER",2003,365,2.91,5,"Boeing"
"Boeing 777-300ER",2003,344,3.11,5,"Boeing"
"Boeing 777-9X",2020,395,2.85,5,"Boeing"
"Boeing 787-8",2011,243,2.77,5,"Boeing"
"Boeing 787-9",2013,294,2.49,5,"Boeing"
"Boeing 787-9",2013,304,2.31,5,"Boeing"
"Boeing 787-9",2013,291,3.08,5,"Boeing"
